"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Dec 23 06:18:42 GMT 2023","Sat Dec 23 06:18:42 GMT 2023","144","Transactional","Templates","","","","Create an email template",""
"passed","Sat Dec 23 06:18:52 GMT 2023","Sat Dec 23 06:18:52 GMT 2023","139","Contact management","Folders","","","","Delete a folder (and all its lists)",""
"passed","Sat Dec 23 06:18:56 GMT 2023","Sat Dec 23 06:18:56 GMT 2023","137","Accounts and settings","Reseller","Child accounts","","","Update info of reseller's child based on the child identifier supplied",""
"failed","Sat Dec 23 06:18:59 GMT 2023","Sat Dec 23 06:18:59 GMT 2023","128","Accounts and settings","Domains","","","","Create a new domain",""
"passed","Sat Dec 23 06:18:58 GMT 2023","Sat Dec 23 06:18:58 GMT 2023","127","Accounts and settings","Corporate","","","","Update sub-account plan",""
"failed","Sat Dec 23 06:18:46 GMT 2023","Sat Dec 23 06:18:46 GMT 2023","152","Marketing","Email Campaigns","","","","Get an email campaign report",""
"passed","Sat Dec 23 06:18:57 GMT 2023","Sat Dec 23 06:18:57 GMT 2023","144","Accounts and settings","Process","","","","Return the informations for a process",""
"passed","Sat Dec 23 06:19:03 GMT 2023","Sat Dec 23 06:19:03 GMT 2023","133","Sales CRM","Notes","","","","Get a note",""
"failed","Sat Dec 23 06:18:50 GMT 2023","Sat Dec 23 06:18:50 GMT 2023","137","Contact management","Contacts","","","","Create a contact",""
"passed","Sat Dec 23 06:19:03 GMT 2023","Sat Dec 23 06:19:03 GMT 2023","128","Sales CRM","Notes","","","","Update a note",""
"passed","Sat Dec 23 06:18:59 GMT 2023","Sat Dec 23 06:18:59 GMT 2023","127","Accounts and settings","Domains","","","","Delete a domain",""
"passed","Sat Dec 23 06:18:59 GMT 2023","Sat Dec 23 06:18:59 GMT 2023","136","Accounts and settings","Domains","","","","Validate domain configuration",""
"passed","Sat Dec 23 06:19:01 GMT 2023","Sat Dec 23 06:19:02 GMT 2023","147","Sales CRM","Tasks","","","","Get all tasks",""
"passed","Sat Dec 23 06:19:05 GMT 2023","Sat Dec 23 06:19:06 GMT 2023","142","eCommerce","Categories","","","","Get a category details",""
"failed","Sat Dec 23 06:18:45 GMT 2023","Sat Dec 23 06:18:45 GMT 2023","133","Transactional","Transactional SMS","","","","Send SMS message to a mobile number",""
"failed","Sat Dec 23 06:19:01 GMT 2023","Sat Dec 23 06:19:01 GMT 2023","130","Sales CRM","Deals","","","","Create a deal",""
"failed","Sat Dec 23 06:18:48 GMT 2023","Sat Dec 23 06:18:48 GMT 2023","128","Marketing","Email Campaigns","","","","Upload an image to your account's image gallery",""
"failed","Sat Dec 23 06:18:49 GMT 2023","Sat Dec 23 06:18:49 GMT 2023","143","Marketing","SMS Campaigns","","","","Send a test SMS campaign",""
